service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20150927,20151227
2,0,0,0,0,0,1,0,20150927,20151227
3,0,0,0,0,0,0,1,20150927,20151227
4,0,0,0,0,0,0,0,20150927,20151227
8401,0,0,0,0,0,0,0,20150927,20151227
8402,0,0,0,0,0,0,0,20150927,20151227
8403,0,0,0,0,0,0,0,20150927,20151227
8404,0,0,0,0,0,0,0,20150927,20151227
14,1,1,1,1,1,0,0,20150712,20151231
15,0,0,0,0,0,1,0,20150712,20151231
16,0,0,0,0,0,0,1,20150712,20151231
17,0,0,0,0,0,0,0,20150712,20151231
